,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,
GO:0097106,BP,GO:0097106,postsynaptic density organization,6/352,35/14611,0.00016843,0.00848515,0.00733214,Lrrc4/Nptx1/Ntrk3/Pten/Ptprd/Reln,6,
GO:0006813,BP,GO:0006813,potassium ion transport,14/352,187/14611,0.000177699,0.008853704,0.007650613,Adora1/Ank2/Dlg1/Gnaq/Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj12/Kcnj3/Nsf/Pten/Rgs4/Wnk1,14,
GO:0060079,BP,GO:0060079,excitatory postsynaptic potential,9/352,84/14611,0.000185208,0.009047491,0.007818068,Adora1/App/Grin2c/Mecp2/Pten/Reln/Rgs4/Slc17a7/Wnt7a,9,
GO:0007409,BP,GO:0007409,axonogenesis,23/352,415/14611,0.000187575,0.009047491,0.007818068,App/Arhgap35/Barhl2/Bsg/Cntn6/Dclk1/Dst/Ephb2/Gdi1/Golga4/Map1b/Nptx1/Ntrk2/Ntrk3/Olfm1/Pten/Ptprz1/Reln/Rtn4rl1/Scn1b/Tubb3/Vim/Wnt7a,23,
GO:0022890,MF,GO:0022890,inorganic cation transmembrane transporter activity,23/352,415/14611,0.000187575,0.009047491,0.007818068,Atp5o/Atp6v1a/Atp6v1e1/Atp6v1g2/Cacna1c/Cox8a/Gria3/Grin2c/Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj12/Kcnj3/Ryr2/Ryr3/Scn1b/Slc17a7/Slc4a4/Slc4a7/Slc4a8/Uqcr11/Uqcrh,23,
GO:0099523,CC,GO:0099523,presynaptic cytosol,4/352,13/14611,0.000199308,0.009419991,0.00813995,Ctbp2/Prkcb/Prkcg/Sh3gl2,4,
GO:0060627,BP,GO:0060627,regulation of vesicle-mediated transport,26/352,500/14611,0.000200043,0.009419991,0.00813995,App/Appl2/Arhgap21/Exph5/Git2/Kcnh1/Lamp1/Lgals3/Myo5a/Napb/Nsf/Pacsin1/Ppp3cb/Prkcb/Prkcg/Pten/Sh3gl2/Sh3gl3/Sirpa/Slc17a7/Slc4a8/Syp/Syt2/Syt6/Tsg101/Wnt7a,26,
GO:0031346,BP,GO:0031346,positive regulation of cell projection organization,22/352,390/14611,0.00020153,0.009419991,0.00813995,Anln/Arhgap35/Cux1/Ephb2/Fut9/Gdi1/Golga4/Itpka/Map1b/Mien1/Neu1/Nme1/Ntrk2/Ntrk3/Pacsin1/Plk5/Ptprd/Ptprz1/Reln/Rgs2/Scn1b/Tenm1,22,
GO:0034703,CC,GO:0034703,cation channel complex,13/352,168/14611,0.000217452,0.009962908,0.008609092,Cacna1c/Gria3/Grin2c/Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj3/Olfm1/Ryr2/Ryr3/Scn1b/Shisa8,13,
GO:0034702,CC,GO:0034702,ion channel complex,15/352,214/14611,0.000217578,0.009962908,0.008609092,Cacna1c/Clic6/Gabra1/Gria3/Grin2c/Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj3/Olfm1/Ryr2/Ryr3/Scn1b/Shisa8,15,
GO:0021782,BP,GO:0021782,glial cell development,10/352,105/14611,0.000219738,0.009962908,0.008609092,App/Arhgef10/C1qa/Id4/Nkx6-2/Ntrk2/Ntrk3/Pten/Tspan2/Vim,10,
GO:0015453,MF,GO:0015453,oxidoreduction-driven active transmembrane transporter activity,6/352,37/14611,0.000231651,0.010309977,0.008909,Cox8a/Ndufa10/Ndufb7/Ndufs8/Uqcr11/Uqcrh,6,
GO:0016358,BP,GO:0016358,dendrite development,18/352,289/14611,0.00023194,0.010309977,0.008909,App/Cux1/Dclk1/Ephb2/Itpka/Map1b/Mark1/Mecp2/Ntrk2/Pacsin1/Ppp1r9b/Prex2/Pten/Ptprd/Ptprz1/Reln/Srgap2/Wnt7a,18,
GO:0032970,BP,GO:0032970,regulation of actin filament-based process,20/352,341/14611,0.000235274,0.010356612,0.008949297,Adora1/Ank2/Arhgap35/Arhgef10/Arpc5l/Cacna1c/Capza2/Coro2b/Dlg1/Mtss1/Ntrk3/Rgs4/Ryr2/Sptan1/Sptb/Sptbn1/Tenm1/Tmeff2/Tmod2/Wasf1,20,
GO:0042063,BP,GO:0042063,gliogenesis,18/352,291/14611,0.000252353,0.010968541,0.009478074,App/Arhgef10/Arhgef7/C1qa/Dner/Erbb3/Id4/Mecp2/Nfe2l1/Nkx6-2/Ntrk2/Ntrk3/Pten/Ptprz1/Reln/Srgap2/Tspan2/Vim,18,
GO:0010959,BP,GO:0010959,regulation of metal ion transport,20/352,343/14611,0.000254013,0.010968541,0.009478074,Adora1/Ank2/Cacna1c/Dlg1/F2r/Gnaq/Il16/Kcnab1/Kcnab2/Lgals3/Myo5a/Oprl1/Pten/Rgs4/Ryr2/Saraf/Scn1b/Tesc/Tmbim6/Wnk1,20,
GO:0098552,CC,GO:0098552,side of membrane,22/352,398/14611,0.000267699,0.011204189,0.009681702,Ank1/Antxr1/Car4/Cd302/Cd83/Dlg1/Dst/Gna12/Gnaq/Gng3/Kcnab1/Kcnab2/Kcnj3/Lamp1/Lgals3/Mien1/Mtss1/Ppp1r9b/Pten/Rgs2/Rtn4rl1/Ryr2,22,
GO:0015701,BP,GO:0015701,bicarbonate transport,4/352,14/14611,0.000273749,0.011204189,0.009681702,Car4/Slc4a4/Slc4a7/Slc4a8,4,
GO:0031987,BP,GO:0031987,locomotion involved in locomotory behavior,4/352,14/14611,0.000273749,0.011204189,0.009681702,Gpr37/Mecp2/Myo5a/Ppp3cb,4,
GO:0044306,CC,GO:0044306,neuron projection terminus,13/352,172/14611,0.000274,0.011204189,0.009681702,Adora1/Cdh8/Erc2/Git2/Got1/Gria3/Kcnab2/Ntrk2/Pacsin1/Prkcb/Prkcg/Slc4a8/Syp,13,
GO:0099173,BP,GO:0099173,postsynapse organization,14/352,195/14611,0.000274433,0.011204189,0.009681702,Abhd17b/Adgrb1/App/Arhgef7/Ephb2/Itpka/Lrrc4/Nptx1/Ntrk3/Pten/Ptprd/Reln/Sptbn2/Wnt7a,14,
GO:0055065,BP,GO:0055065,metal ion homeostasis,25/352,482/14611,0.000275366,0.011204189,0.009681702,Adora1/Ank1/Ank2/App/Atp6v1a/Cacna1c/Camk2n1/F2r/Gng3/Got1/Gpr12/Grin2c/Grm1/Herpud1/Kcnh1/Mtss1/Myo5a/Oprl1/Pacs2/Prkcb/Ryr2/Ryr3/Slc22a17/Tesc/Tmbim6,25,
GO:0099175,BP,GO:0099175,regulation of postsynapse organization,10/352,108/14611,0.000276769,0.011204189,0.009681702,Abhd17b/App/Ephb2/Itpka/Nptx1/Ntrk3/Pten/Ptprd/Reln/Wnt7a,10,
GO:0022904,BP,GO:0022904,respiratory electron transport chain,8/352,71/14611,0.000297147,0.011865275,0.010252955,Chchd2/Ndufa10/Ndufb6/Ndufs8/Ndufv3/Sdhaf2/Uqcr10/Uqcrh,8,
GO:0001508,BP,GO:0001508,action potential,10/352,109/14611,0.000298333,0.011865275,0.010252955,Ank2/Cacna1c/Dlg1/Gnaq/Kcnab2/Mecp2/Ntrk2/Ntrk3/Ryr2/Scn1b,10,
GO:0072659,BP,GO:0072659,protein localization to plasma membrane,17/352,272/14611,0.000330564,0.013032856,0.011261879,Ank1/Ank2/Bsg/Dlg1/Ephb2/Fam126b/Golga4/Kcnb2/Lgals3/Myo5a/Nsf/Pacs2/Pacsin1/Ppp1r9b/Rilpl1/Sptbn1/Tesc,17,
GO:0022836,MF,GO:0022836,gated channel activity,15/352,223/14611,0.000339111,0.013137943,0.011352686,Cacna1c/Clic6/Gabra1/Gria3/Grin2c/Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj12/Kcnj3/Ryr2/Ryr3/Scn1b/Slc17a7,15,
GO:0043266,BP,GO:0043266,regulation of potassium ion transport,9/352,91/14611,0.000340287,0.013137943,0.011352686,Adora1/Ank2/Dlg1/Gnaq/Kcnab1/Kcnab2/Pten/Rgs4/Wnk1,9,
GO:0098698,BP,GO:0098698,postsynaptic specialization assembly,5/352,26/14611,0.000341923,0.013137943,0.011352686,Nptx1/Ntrk3/Pten/Ptprd/Reln,5,
GO:0099084,BP,GO:0099084,postsynaptic specialization organization,6/352,40/14611,0.000359929,0.013455446,0.011627045,Lrrc4/Nptx1/Ntrk3/Pten/Ptprd/Reln,6,
GO:0030672,CC,GO:0030672,synaptic vesicle membrane,8/352,73/14611,0.00036011,0.013455446,0.011627045,Atp6v1g2/Dlg1/Gad2/Slc17a7/Sv2b/Syp/Syt2/Tmem163,8,
GO:0099501,CC,GO:0099501,exocytic vesicle membrane,8/352,73/14611,0.00036011,0.013455446,0.011627045,Atp6v1g2/Dlg1/Gad2/Slc17a7/Sv2b/Syp/Syt2/Tmem163,8,
GO:0043024,MF,GO:0043024,ribosomal small subunit binding,4/352,15/14611,0.000366234,0.013455446,0.011627045,Eif1b/Eif4b/Eif4h/Nme1,4,
GO:0099565,BP,GO:0099565,"chemical synaptic transmission, postsynaptic",9/352,92/14611,0.000369336,0.013455446,0.011627045,Adora1/App/Grin2c/Mecp2/Pten/Reln/Rgs4/Slc17a7/Wnt7a,9,
GO:1990204,CC,GO:1990204,oxidoreductase complex,9/352,92/14611,0.000369336,0.013455446,0.011627045,Ndufa10/Ndufa11/Ndufb11/Ndufb6/Ndufb7/Ndufs8/Ndufv3/Uqcr10/Uqcrh,9,
GO:0034763,BP,GO:0034763,negative regulation of transmembrane transport,10/352,112/14611,0.000371623,0.013455446,0.011627045,Appl2/Ephb2/Kcnab1/Oaz1/Oprl1/Pea15a/Prkcb/Pten/Rgs2/Rgs4,10,
GO:0010976,BP,GO:0010976,positive regulation of neuron projection development,14/352,201/14611,0.000373927,0.013455446,0.011627045,Arhgap35/Ephb2/Fut9/Itpka/Neu1/Nme1/Ntrk2/Ntrk3/Pacsin1/Plk5/Ptprz1/Reln/Rgs2/Scn1b,14,
GO:0030016,CC,GO:0030016,myofibril,13/352,178/14611,0.00038217,0.013643756,0.011789766,Ank1/Ank2/Cacna1c/Dst/Ppp1r12b/Ppp3cb/Ryr2/Ryr3/Sptan1/Sptbn1/Tmod2/Tpm2/Trim32,13,
GO:1902903,BP,GO:1902903,regulation of supramolecular fiber organization,19/352,328/14611,0.000391536,0.013686375,0.011826594,App/Arhgap35/Arhgef10/Arhgef7/Arpc5l/Capza2/Coro2b/Dlg1/Map1b/Mecp2/Mtss1/Rgs4/Sptan1/Sptb/Sptbn1/Tenm1/Tmeff2/Tmod2/Wasf1,19,
GO:0017157,BP,GO:0017157,regulation of exocytosis,14/352,202/14611,0.000393196,0.013686375,0.011826594,Exph5/Git2/Kcnh1/Lamp1/Myo5a/Nsf/Prkcb/Prkcg/Slc4a8/Syp/Syt2/Syt6/Tsg101/Wnt7a,14,
GO:0008015,BP,GO:0008015,blood circulation,21/352,382/14611,0.000395414,0.013686375,0.011826594,Adora1/Akap12/Ank2/App/Arhgap35/Cacna1c/Camk2n1/Coro2b/Dlg1/Dusp5/F2r/Gna12/Gnaq/Mecp2/Oprl1/Rgs2/Rgs4/Ryr2/Scn1b/Sh3gl2/Wnk1,21,
GO:0019905,MF,GO:0019905,syntaxin binding,8/352,74/14611,0.000395438,0.013686375,0.011826594,Myo5a/Napb/Nsf/Sptan1/Syp/Syt2/Syt6/Tmed10,8,
GO:0051953,BP,GO:0051953,negative regulation of amine transport,5/352,27/14611,0.000411419,0.014131635,0.01221135,Adora1/Gabbr1/Myo5a/Rgs2/Rgs4,5,
GO:0110053,BP,GO:0110053,regulation of actin filament organization,15/352,229/14611,0.000449274,0.015315859,0.013234655,Arhgap35/Arhgef10/Arpc5l/Capza2/Coro2b/Dlg1/Mtss1/Rgs4/Sptan1/Sptb/Sptbn1/Tenm1/Tmeff2/Tmod2/Wasf1,15,
GO:0019646,BP,GO:0019646,aerobic electron transport chain,6/352,42/14611,0.000472401,0.015984075,0.013812069,Ndufa10/Ndufb6/Ndufs8/Sdhaf2/Uqcr10/Uqcrh,6,
GO:0042552,BP,GO:0042552,myelination,11/352,137/14611,0.000480259,0.016129594,0.013937815,Arhgef10/Dlg1/Gjc3/Id4/Myo5a/Nkx6-2/Ntrk2/Ntrk3/Pten/Ptprz1/Tspan2,11,
GO:0003779,MF,GO:0003779,actin binding,20/352,361/14611,0.000490729,0.016251629,0.014043266,Anln/Antxr1/Arpc5l/Cald1/Capza2/Coro2b/Dst/Gas7/Ino80/Map1b/Mtss1/Myo5a/Ppp1r9b/Sptan1/Sptb/Sptbn1/Sptbn2/Tmod2/Tpm2/Wasf1,20,
GO:0098918,MF,GO:0098918,structural constituent of synapse,5/352,28/14611,0.000491062,0.016251629,0.014043266,Ctbp2/Dlg1/Erc2/Ina/Sptbn2,5,
GO:0090066,BP,GO:0090066,regulation of anatomical structure size,24/352,473/14611,0.00049908,0.016397301,0.014169144,Adora1/Arhgap35/Arpc5l/Barhl2/Cacna1c/Capza2/Dlg1/Dusp5/F2r/Gdi1/Golga4/Map1b/Ntrk3/Olfm1/Prr16/Pten/Rgs2/Sptan1/Sptb/Sptbn1/Tenm1/Tmod2/Wasf1/Wnt7a,24,
GO:1990778,BP,GO:1990778,protein localization to cell periphery,19/352,335/14611,0.000507744,0.016561938,0.014311409,Ank1/Ank2/Bsg/Dlg1/Ephb2/Fam126b/Golga4/Grin2c/Kcnb2/Lgals3/Myo5a/Nptx1/Nsf/Pacs2/Pacsin1/Ppp1r9b/Rilpl1/Sptbn1/Tesc,19,
GO:0051015,MF,GO:0051015,actin filament binding,13/352,184/14611,0.000524709,0.016993079,0.014683964,Antxr1/Arpc5l/Capza2/Coro2b/Gas7/Mtss1/Myo5a/Ppp1r9b/Sptan1/Sptb/Sptbn1/Sptbn2/Tpm2,13,
GO:0001764,BP,GO:0001764,neuron migration,12/352,161/14611,0.000529935,0.017040594,0.014725023,Astn2/Barhl2/Dclk1/Kirrel3/Mark1/Ntrk2/Ntrk3/Olfm1/Ptprz1/Reln/Srgap2/Tlx3,12,
GO:0007272,BP,GO:0007272,ensheathment of neurons,11/352,139/14611,0.000543074,0.017218859,0.014879064,Arhgef10/Dlg1/Gjc3/Id4/Myo5a/Nkx6-2/Ntrk2/Ntrk3/Pten/Ptprz1/Tspan2,11,
GO:0008366,BP,GO:0008366,axon ensheathment,11/352,139/14611,0.000543074,0.017218859,0.014879064,Arhgef10/Dlg1/Gjc3/Id4/Myo5a/Nkx6-2/Ntrk2/Ntrk3/Pten/Ptprz1/Tspan2,11,
GO:0030003,BP,GO:0030003,cellular cation homeostasis,24/352,477/14611,0.000562441,0.017699699,0.015294565,Ank2/App/Atp6v1a/Cacna1c/Car7/F2r/Gng3/Got1/Gpr12/Grin2c/Grm1/Herpud1/Kcnh1/Myo5a/Oprl1/Pacs2/Prkcb/Ryr2/Ryr3/Slc4a4/Slc4a7/Slc4a8/Tesc/Tmbim6,24,
GO:0022900,BP,GO:0022900,electron transport chain,8/352,78/14611,0.000566047,0.017699699,0.015294565,Chchd2/Ndufa10/Ndufb6/Ndufs8/Ndufv3/Sdhaf2/Uqcr10/Uqcrh,8,
GO:0030315,CC,GO:0030315,T-tubule,7/352,60/14611,0.000572002,0.017763412,0.01534962,Ank2/Cacna1c/Dlg1/Kcnj12/Kcnj3/Ppp3cb/Scn1b,7,
GO:0043292,CC,GO:0043292,contractile fiber,13/352,187/14611,0.000611405,0.01864572,0.016112035,Ank1/Ank2/Cacna1c/Dst/Ppp1r12b/Ppp3cb/Ryr2/Ryr3/Sptan1/Sptbn1/Tmod2/Tpm2/Trim32,13,
GO:0016322,BP,GO:0016322,neuron remodeling,4/352,17/14611,0.000614665,0.01864572,0.016112035,App/C1qa/Gnaq/Ntn4,4,
GO:1904889,BP,GO:1904889,regulation of excitatory synapse assembly,4/352,17/14611,0.000614665,0.01864572,0.016112035,Nptx1/Ntrk3/Ptprd/Wnt7a,4,
GO:0030864,CC,GO:0030864,cortical actin cytoskeleton,8/352,79/14611,0.000616863,0.01864572,0.016112035,Anln/Cald1/Ppp1r9b/Prkcb/Sptan1/Sptb/Sptbn1/Sptbn2,8,
GO:0034329,BP,GO:0034329,cell junction assembly,20/352,368/14611,0.000624891,0.018680335,0.016141947,Adgrb1/App/Cdh8/Coro2b/Dlg1/Dst/Ephb2/Gabra1/Kirrel3/Lrrc4/Mecp2/Nptx1/Ntrk2/Ntrk3/Pten/Ptprd/Ptprk/Reln/Sptbn2/Wnt7a,20,
GO:0007186,BP,GO:0007186,G protein-coupled receptor signaling pathway,23/352,452/14611,0.000626249,0.018680335,0.016141947,Adgrb1/Adora1/Akap12/App/F2r/Gabbr1/Gna12/Gnaq/Gng3/Gpr12/Gpr22/Gpr37/Grm1/Oprl1/Ppp1r9b/Prex2/Rgs2/Rgs4/Rgs7bp/Syp/Tenm1/Tmod2/Ywhab,23,
GO:0030426,CC,GO:0030426,growth cone,13/352,189/14611,0.000675682,0.019814699,0.017122167,App/Arhgef7/Dclk1/Erc2/Map1b/Nrsn1/Ntrk2/Olfm1/Pcdh9/Ppp1r9b/Ptprz1/Tmod2/Tubb3,13,
GO:0055074,BP,GO:0055074,calcium ion homeostasis,19/352,343/14611,0.000676112,0.019814699,0.017122167,Ank2/App/Cacna1c/Camk2n1/F2r/Gng3/Got1/Gpr12/Grin2c/Grm1/Herpud1/Kcnh1/Myo5a/Oprl1/Pacs2/Prkcb/Ryr2/Ryr3/Tmbim6,19,
GO:0051693,BP,GO:0051693,actin filament capping,5/352,30/14611,0.00068448,0.019814699,0.017122167,Capza2/Sptan1/Sptb/Sptbn1/Tmod2,5,
GO:0086004,BP,GO:0086004,regulation of cardiac muscle cell contraction,5/352,30/14611,0.00068448,0.019814699,0.017122167,Adora1/Ank2/Cacna1c/Dlg1/Ryr2,5,
GO:0043624,BP,GO:0043624,cellular protein complex disassembly,10/352,121/14611,0.000686714,0.019814699,0.017122167,Capza2/Map1b/Napb/Nsf/Sh3gl2/Sh3gl3/Sptan1/Sptb/Sptbn1/Tmod2,10,
GO:0072507,BP,GO:0072507,divalent inorganic cation homeostasis,20/352,371/14611,0.00069147,0.019814699,0.017122167,Ank2/App/Cacna1c/Camk2n1/F2r/Gng3/Got1/Gpr12/Grin2c/Grm1/Herpud1/Kcnh1/Mtss1/Myo5a/Oprl1/Pacs2/Prkcb/Ryr2/Ryr3/Tmbim6,20,
GO:0015267,MF,GO:0015267,channel activity,18/352,317/14611,0.000699239,0.019814699,0.017122167,Atp5o/Atp6v1a/Cacna1c/Clic6/Gabra1/Gjc3/Gria3/Grin2c/Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj12/Kcnj3/Ryr2/Ryr3/Scn1b/Slc17a7,18,
GO:0022803,MF,GO:0022803,passive transmembrane transporter activity,18/352,317/14611,0.000699239,0.019814699,0.017122167,Atp5o/Atp6v1a/Cacna1c/Clic6/Gabra1/Gjc3/Gria3/Grin2c/Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj12/Kcnj3/Ryr2/Ryr3/Scn1b/Slc17a7,18,
GO:0008324,MF,GO:0008324,cation transmembrane transporter activity,23/352,457/14611,0.000727532,0.020488372,0.017704298,Atp5o/Atp6v1a/Atp6v1e1/Atp6v1g2/Cacna1c/Cox8a/Gria3/Grin2c/Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj12/Kcnj3/Ryr2/Ryr3/Scn1b/Slc17a7/Slc4a4/Slc4a7/Slc4a8/Uqcr11/Uqcrh,23,
GO:0006873,BP,GO:0006873,cellular ion homeostasis,24/352,487/14611,0.000752524,0.021061382,0.018199444,Ank2/App/Atp6v1a/Cacna1c/Car7/F2r/Gng3/Got1/Gpr12/Grin2c/Grm1/Herpud1/Kcnh1/Myo5a/Oprl1/Pacs2/Prkcb/Ryr2/Ryr3/Slc4a4/Slc4a7/Slc4a8/Tesc/Tmbim6,24,
GO:0098900,BP,GO:0098900,regulation of action potential,6/352,46/14611,0.000778041,0.021641939,0.018701111,Ank2/Cacna1c/Dlg1/Kcnab2/Mecp2/Ryr2,6,
GO:0005216,MF,GO:0005216,ion channel activity,17/352,294/14611,0.000799487,0.022102903,0.019099437,Atp5o/Atp6v1a/Cacna1c/Clic6/Gabra1/Gria3/Grin2c/Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj12/Kcnj3/Ryr2/Ryr3/Scn1b/Slc17a7,17,
GO:0048167,BP,GO:0048167,regulation of synaptic plasticity,14/352,218/14611,0.000838079,0.023029398,0.019900035,Adgrb1/Adora1/App/Ephb2/Erc2/Grin2c/Itpka/Mecp2/Ntrk2/Prkcg/Pten/Reln/Shisa8/Syp,14,
GO:0030427,CC,GO:0030427,site of polarized growth,13/352,194/14611,0.000861737,0.023403041,0.020222905,App/Arhgef7/Dclk1/Erc2/Map1b/Nrsn1/Ntrk2/Olfm1/Pcdh9/Ppp1r9b/Ptprz1/Tmod2/Tubb3,13,
GO:2000146,BP,GO:2000146,negative regulation of cell motility,15/352,244/14611,0.000866491,0.023403041,0.020222905,Adgrb1/Adora1/Frmd5/Gna12/Ifitm3/Igfbp5/Mecp2/Olfm1/Pten/Ptprk/Ptprr/Ptprt/Srgap2/Srgap3/Tmeff2,15,
GO:0007188,BP,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,11/352,147/14611,0.000867162,0.023403041,0.020222905,Adgrb1/Adora1/Akap12/App/Gabbr1/Gna12/Gnaq/Gpr12/Gpr37/Oprl1/Rgs2,11,
GO:0048588,BP,GO:0048588,developmental cell growth,15/352,245/14611,0.000903277,0.0242137,0.020923407,App/Barhl2/Cpne9/Dclk1/Gdi1/Golga4/Map1b/Mecp2/Ntrk3/Olfm1/Rgs2/Rgs4/Sh3gl2/Syt2/Wasf1,15,
GO:0060291,BP,GO:0060291,long-term synaptic potentiation,9/352,104/14611,0.00090788,0.0242137,0.020923407,Adora1/App/Ephb2/Grin2c/Mecp2/Ntrk2/Prkcg/Pten/Reln,9,
GO:0003013,BP,GO:0003013,circulatory system process,21/352,409/14611,0.000955042,0.024966106,0.021573572,Adora1/Akap12/Ank2/App/Arhgap35/Cacna1c/Camk2n1/Coro2b/Dlg1/Dusp5/F2r/Gna12/Gnaq/Mecp2/Oprl1/Rgs2/Rgs4/Ryr2/Scn1b/Sh3gl2/Wnk1,21,
GO:0030285,CC,GO:0030285,integral component of synaptic vesicle membrane,4/352,19/14611,0.000963623,0.024966106,0.021573572,Atp6v1g2/Slc17a7/Syp/Tmem163,4,
GO:0032891,BP,GO:0032891,negative regulation of organic acid transport,4/352,19/14611,0.000963623,0.024966106,0.021573572,Adora1/Gabbr1/Rgs2/Rgs4,4,
GO:0086019,BP,GO:0086019,cell-cell signaling involved in cardiac conduction,4/352,19/14611,0.000963623,0.024966106,0.021573572,Ank2/Cacna1c/Ryr2/Scn1b,4,
GO:0098901,BP,GO:0098901,regulation of cardiac muscle cell action potential,4/352,19/14611,0.000963623,0.024966106,0.021573572,Ank2/Cacna1c/Dlg1/Ryr2,4,
GO:0048786,CC,GO:0048786,presynaptic active zone,7/352,66/14611,0.001019823,0.02617093,0.022614678,Adora1/App/Ctbp2/Erc2/Ntrk2/Slc17a7/Syp,7,
GO:0005938,CC,GO:0005938,cell cortex,15/352,248/14611,0.001021671,0.02617093,0.022614678,Ank1/Anln/Cald1/Capza2/Cd302/Ctbp2/Erc2/Ncl/Phldb1/Ppp1r9b/Prkcb/Sptan1/Sptb/Sptbn1/Sptbn2,15,
GO:0030165,MF,GO:0030165,PDZ domain binding,9/352,106/14611,0.001040576,0.026505469,0.022903757,Adgrb1/Dlg1/Erc2/Gria3/Grin2c/Kcnj12/Kirrel3/Nsf/Pten,9,
GO:0086002,BP,GO:0086002,cardiac muscle cell action potential involved in contraction,5/352,33/14611,0.001074522,0.027217212,0.023518785,Ank2/Cacna1c/Dlg1/Ryr2/Scn1b,5,
GO:0032535,BP,GO:0032535,regulation of cellular component size,19/352,357/14611,0.001087642,0.027396493,0.023673704,Arhgap35/Arpc5l/Barhl2/Capza2/Dlg1/Gdi1/Golga4/Map1b/Ntrk3/Olfm1/Prr16/Pten/Sptan1/Sptb/Sptbn1/Tenm1/Tmod2/Wasf1/Wnt7a,19,
GO:0008154,BP,GO:0008154,actin polymerization or depolymerization,12/352,175/14611,0.001105915,0.027550651,0.023806915,Arhgap35/Arpc5l/Capza2/Dlg1/Gas7/Mtss1/Sptan1/Sptb/Sptbn1/Tenm1/Tmod2/Wasf1,12,
GO:0045333,BP,GO:0045333,cellular respiration,12/352,175/14611,0.001105915,0.027550651,0.023806915,Atp5o/Chchd2/Gadd45gip1/Idh3b/Mdh2/Ndufa10/Ndufb6/Ndufs8/Ndufv3/Sdhaf2/Uqcr10/Uqcrh,12,
GO:0030695,MF,GO:0030695,GTPase regulator activity,20/352,386/14611,0.001124331,0.027704991,0.023940282,Arhgap10/Arhgap21/Arhgap35/Arhgef10/Arhgef33/Arhgef7/Dennd1a/Dock9/Eef1b2/Eif5/Gdi1/Git2/Gnaq/Prex2/Rgs2/Rgs4/Sirpa/Srgap2/Srgap3/Tbc1d16,20,
GO:0060589,MF,GO:0060589,nucleoside-triphosphatase regulator activity,20/352,386/14611,0.001124331,0.027704991,0.023940282,Arhgap10/Arhgap21/Arhgap35/Arhgef10/Arhgef33/Arhgef7/Dennd1a/Dock9/Eef1b2/Eif5/Gdi1/Git2/Gnaq/Prex2/Rgs2/Rgs4/Sirpa/Srgap2/Srgap3/Tbc1d16,20,
GO:0006874,BP,GO:0006874,cellular calcium ion homeostasis,18/352,331/14611,0.001146694,0.028103294,0.024284461,Ank2/App/Cacna1c/F2r/Gng3/Got1/Gpr12/Grin2c/Grm1/Herpud1/Kcnh1/Myo5a/Oprl1/Pacs2/Prkcb/Ryr2/Ryr3/Tmbim6,18,
GO:0086005,BP,GO:0086005,ventricular cardiac muscle cell action potential,4/352,20/14611,0.00118184,0.028512963,0.024638462,Ank2/Cacna1c/Dlg1/Ryr2,4,
GO:0099522,CC,GO:0099522,cytosolic region,4/352,20/14611,0.00118184,0.028512963,0.024638462,Ctbp2/Prkcb/Prkcg/Sh3gl2,4,
GO:0030018,CC,GO:0030018,Z disc,9/352,108/14611,0.001188564,0.028512963,0.024638462,Ank1/Ank2/Cacna1c/Dst/Ppp1r12b/Ppp3cb/Ryr2/Ryr3/Sptan1,9,
GO:0030658,CC,GO:0030658,transport vesicle membrane,9/352,108/14611,0.001188564,0.028512963,0.024638462,Atp6v1g2/Car4/Dlg1/Gad2/Slc17a7/Sv2b/Syp/Syt2/Tmem163,9,
GO:0015399,MF,GO:0015399,primary active transmembrane transporter activity,10/352,130/14611,0.001195522,0.028528936,0.024652265,Atp6v1a/Atp6v1e1/Atp6v1g2/Cox8a/Ndufa10/Ndufb7/Ndufs8/Slc4a8/Uqcr11/Uqcrh,10,
GO:0032412,BP,GO:0032412,regulation of ion transmembrane transporter activity,14/352,227/14611,0.001237669,0.029380056,0.02538773,Ank2/App/Dlg1/Ephb2/Kcnab1/Myo5a/Oprl1/Pten/Reln/Ryr2/Scn1b/Shisa8/Tesc/Wnk1,14,
GO:0051271,BP,GO:0051271,negative regulation of cellular component movement,15/352,253/14611,0.001248093,0.029473195,0.025468212,Adgrb1/Adora1/Frmd5/Gna12/Ifitm3/Igfbp5/Mecp2/Olfm1/Pten/Ptprk/Ptprr/Ptprt/Srgap2/Srgap3/Tmeff2,15,
GO:0030041,BP,GO:0030041,actin filament polymerization,11/352,154/14611,0.001269082,0.029813553,0.025762321,Arpc5l/Capza2/Dlg1/Gas7/Mtss1/Sptan1/Sptb/Sptbn1/Tenm1/Tmod2/Wasf1,11,
